rank,base_seed,eyes,pearls,total,portal_x_old,portal_y_coord,portal_z_old,stronghold_x_old,stronghold_z_old,verified_sister_seed,low,stronghold_x_new,stronghold_z_new,portal_x_new,portal_y,portal_z_new,eyes_new,pearls_new,total_new,chests_new,new_line,eye_delta,pearl_delta,total_delta
4855,24014003,5,7,12,187,-9,1358,228,1364,38678719667.0,24014003,228,1364,187,-9,1358,6,7,13,"213,-22,1325:3;218,-22,1333:2;211,-16,1333:2",41,1,0,1
3037,163324710,6,7,13,318,-15,1313,308,1284,1164099461926.0,163324710,308,1284,318,-15,1313,5,7,12,"317,-8,1267:2;336,-16,1273:1;317,-8,1260:2;308,-16,1288:2",262,-1,0,-1
311,253270262,8,6,14,-1355,21,90,-1388,100,8843204854.0,253270262,-1388,100,-1355,21,90,8,5,13,"-1353,8,67:2;-1402,8,51:1;-1334,8,48:2",381,0,-1,-1
504,440901713,8,4,12,267,-16,1387,292,1380,262433906769.0,440901713,292,1380,267,-16,1387,8,5,13,"294,-17,1397:2;300,-13,1392:1;286,-17,1423:1;287,-23,1398:1",645,0,1,1
2109,457011952,7,5,12,859,30,647,852,676,26226815728.0,457011952,852,676,859,30,647,7,6,13,"835,31,702:1;853,29,661:2;847,17,673:2;854,23,649:1",660,0,1,1
359,504563264,8,5,13,771,22,-432,788,-444,26274367040.0,504563264,788,-444,771,22,-432,8,6,14,"818,13,-436:2;765,21,-445:1;784,21,-440:2;760,21,-425:1",720,0,1,1
1020,509324442,8,4,12,641,9,1276,612,1300,30574095514.0,509324442,612,1300,641,9,1276,8,5,13,"645,4,1290:1;583,0,1322:2;604,-16,1331:2",725,0,1,1
1047,584623276,8,4,12,1183,14,836,1188,772,17764492460.0,584623276,1188,772,1183,14,836,9,4,13,"1159,17,787:1;1146,17,768:2;1141,5,804:1",831,1,0,1
5624,585291138,4,9,13,149,-10,-926,196,-956,103664506242.0,585291138,196,-956,149,-10,-926,4,8,12,"181,-9,-926:1;156,-13,-943:1;227,-9,-909:3;200,-15,-928:3",832,0,-1,-1
6,588335492,10,3,13,766,-1,1209,756,1252,,588335492,756,1252,766,-1,1209,10,2,12,"775,-2,1219:1;783,-26,1257:1",837,0,-1,-1
4477,588436006,6,6,12,-767,6,-404,-764,-364,,588436006,-764,-364,-767,6,-404,6,7,13,"-715,7,-331:2;-703,7,-344:2;-736,3,-381:2;-742,3,-376:1",838,0,1,1
76,684152245,9,4,13,-1415,42,172,-1436,132,65108661685.0,684152245,-1436,132,-1415,42,172,9,3,12,"-1419,41,146:1;-1436,33,115:1;-1429,33,115:1",962,0,-1,-1
4486,736509667,6,6,12,733,-22,-214,772,-268,736509667.0,736509667,772,-268,733,-22,-214,6,7,13,"733,-19,-274:1;799,-23,-276:1;718,-29,-282:2;726,-29,-272:3",1040,0,1,1
163,844743246,9,3,12,772,-18,-860,756,-892,13729645134.0,844743246,756,-892,772,-18,-860,9,4,13,"758,-19,-859:1;775,-25,-908:2;770,-31,-909:1",1195,0,1,1
4686,892036269,5,8,13,-793,24,-271,-748,-252,22366872749.0,892036269,-748,-252,-793,24,-271,4,8,12,"-740,39,-263:1;-781,11,-243:2;-752,17,-252:3;-734,17,-240:2",1260,-1,0,-1
1328,910921019,7,6,13,-353,24,-919,-332,-924,,910921019,-332,-924,-353,24,-919,6,6,12,"-301,23,-945:1;-352,23,-933:1;-323,23,-950:2;-331,29,-859:2",1289,-1,0,-1
1999,987158085,7,5,12,1144,11,-452,1188,-460,,987158085,1188,-460,1144,11,-452,7,6,13,"1200,14,-452:2;1180,12,-452:1;1151,14,-460:1;1188,8,-445:2",1398,0,1,1
4105,1092182973,6,6,12,-428,9,746,-428,788,22567019453.0,1092182973,-428,788,-428,9,746,6,7,13,"-420,16,815:1;-436,14,762:1;-395,6,787:3;-388,6,787:2",1554,0,1,1
1358,1155178177,7,6,13,142,43,696,164,724,26924981953.0,1155178177,164,724,142,43,696,7,5,12,"181,42,694:2;137,42,743:1;143,36,771:2",1632,0,-1,-1
4449,1210226293,6,6,12,1181,-45,-294,1220,-316,91404539509.0,1210226293,1220,-316,1181,-45,-294,6,7,13,"1215,-46,-337:1;1210,-46,-273:3;1253,-54,-342:2;1226,-46,-288:1",1702,0,1,1
4103,1237965832,6,6,12,1125,27,-299,1092,-332,271820905480.0,1237965832,1092,-332,1125,27,-299,6,8,14,"1148,24,-363:3;1127,18,-315:2;1148,24,-317:2;1162,24,-358:1",1738,0,2,2
847,1343076045,8,4,12,585,21,1188,628,1188,125897127629.0,1343076045,628,1188,585,21,1188,8,5,13,"600,14,1181:2;613,14,1245:1;596,14,1209:1;595,14,1223:1",1897,0,1,1
2998,1406543656,6,7,13,1056,5,324,1108,308,83010922280.0,1406543656,1108,308,1056,5,324,6,6,12,"1063,10,298:2;1067,4,303:1;1060,4,303:3",1982,0,-1,-1
5285,1491374867,5,7,12,112,-29,-1422,68,-1436,,1491374867,68,-1436,112,-29,-1422,6,7,13,"92,-30,-1434:2;86,-30,-1418:1;86,-30,-1411:2;60,-28,-1472:2",2092,1,0,1
1309,1503773288,7,6,13,721,-26,-991,740,-988,74518217320.0,1503773288,740,-988,721,-26,-991,7,5,12,"763,-5,-996:1;790,-5,-1016:1;770,-11,-1020:3",2113,0,-1,-1
3091,1629308096,6,7,13,-437,26,-822,-428,-780,1629308096.0,1629308096,-428,-780,-437,26,-822,6,6,12,"-407,37,-744:2;-457,31,-824:2;-452,31,-816:2",2299,0,-1,-1
3016,1776001846,6,7,13,-912,-26,-845,-924,-924,1776001846.0,1776001846,-924,-924,-912,-26,-845,5,7,12,"-904,-17,-871:2;-950,-35,-834:2;-929,-19,-875:1;-946,-41,-853:2",2495,-1,0,-1
2627,1809798797,7,5,12,802,-29,-447,772,-396,,1809798797,772,-396,802,-29,-447,7,6,13,"807,-34,-393:1;802,-30,-387:2;795,-30,-369:2;803,-30,-433:1",2551,0,1,1
671,1877762396,8,4,12,273,-52,-1324,308,-1340,10467696988.0,1877762396,308,-1340,273,-52,-1324,8,5,13,"274,-37,-1328:2;321,-37,-1308:1;305,-35,-1295:1;293,-37,-1333:1",2651,0,1,1
612,1934913975,8,4,12,784,19,-839,788,-860,1934913975.0,1934913975,788,-860,784,19,-839,8,5,13,"763,26,-875:3;743,24,-864:1;751,24,-859:1",2729,0,1,1
118,1937887563,9,3,12,-772,34,-1016,-796,-988,6232854859.0,1937887563,-796,-988,-772,34,-1016,9,4,13,"-762,33,-1014:1;-743,33,-1009:1;-736,33,-1009:2",2735,0,1,1
56,1977016105,9,4,13,-286,3,1186,-316,1236,,1977016105,-316,1236,-286,3,1186,9,3,12,"-295,-2,1222:2;-295,-8,1198:1",2785,0,-1,-1
2691,2132111306,7,5,12,-958,-6,-404,-1020,-364,126686162890.0,2132111306,-1020,-364,-958,-6,-404,7,6,13,"-973,-7,-395:1;-1040,-7,-403:1;-1030,-7,-388:2;-1007,-11,-464:2",3000,0,1,1
548,2152666832,8,4,12,697,41,-893,676,-908,2152666832.0,2152666832,676,-908,697,41,-893,8,5,13,"669,40,-907:2;703,40,-906:1;734,38,-917:2",3044,0,1,1
1242,2201950007,7,6,13,-944,-8,-501,-940,-460,6496917303.0,2201950007,-940,-460,-944,-8,-501,7,5,12,"-931,-1,-471:1;-943,-9,-487:2;-954,1,-477:2",3109,0,-1,-1
4706,2270634794,5,8,13,-791,-17,-318,-796,-364,,2270634794,-796,-364,-791,-17,-318,5,7,12,"-785,-18,-331:1;-806,-18,-422:3;-855,-32,-393:3",3215,0,-1,-1
905,2271239327,8,4,12,361,-14,-1453,324,-1484,83875617951.0,2271239327,324,-1484,361,-14,-1453,8,5,13,"341,-13,-1477:1;314,-11,-1501:1;347,-15,-1452:1;328,-21,-1396:2",3218,0,1,1
3077,2287145431,6,7,13,114,-20,-1371,100,-1324,28056949207.0,2287145431,100,-1324,114,-20,-1371,6,6,12,"126,-33,-1330:2;126,-39,-1318:2;157,-15,-1312:2",3240,0,-1,-1
528,2377416212,8,4,12,-924,-23,292,-940,276,15262318100.0,2377416212,-940,276,-924,-23,292,8,5,13,"-933,-24,311:2;-940,-48,261:2;-940,-48,278:1",3378,0,1,1
1409,2393832998,7,5,12,-395,-12,-1436,-412,-1468,19573702182.0,2393832998,-412,-1468,-395,-12,-1436,7,7,14,"-400,-7,-1460:2;-406,-15,-1448:3;-394,-19,-1446:2",3398,0,2,2
4627,2462590712,6,6,12,159,-2,1283,212,1220,23937427192.0,2462590712,212,1220,159,-2,1283,7,6,13,"204,3,1246:2;211,3,1246:1;236,-1,1241:1;264,-1,1241:2",3477,1,0,1
1214,2584930883,8,4,12,-386,18,807,-428,852,11174865475.0,2584930883,-428,852,-386,18,807,8,5,13,"-439,27,875:2;-398,27,900:1;-411,11,813:1;-439,27,905:1",3648,0,1,1
1289,2676897854,7,6,13,1168,7,617,1156,612,,2676897854,1156,612,1168,7,617,7,5,12,"1120,4,629:2;1197,6,632:2;1135,6,657:1",3766,0,-1,-1
5698,2679365550,4,8,12,-848,24,-265,-844,-316,19859234734.0,2679365550,-844,-316,-848,24,-265,5,8,13,"-825,27,-296:2;-875,15,-283:2;-816,27,-299:2;-882,15,-268:2",3772,1,0,1
4684,2714809414,5,8,13,-490,-10,-818,-444,-844,,2714809414,-444,-844,-490,-10,-818,4,8,12,"-459,-11,-827:1;-447,-15,-827:2;-429,-15,-807:2;-473,-11,-791:3",3834,-1,0,-1
1316,2716700083,7,6,13,-788,-12,-417,-812,-460,24191536563.0,2716700083,-812,-460,-788,-12,-417,7,5,12,"-806,-9,-441:1;-788,-13,-477:2;-768,-25,-460:2",3837,0,-1,-1
1454,2840788449,7,5,12,-332,2,-1087,-332,-1068,,2840788449,-332,-1068,-332,2,-1087,7,7,14,"-345,9,-1084:2;-325,15,-1108:2;-346,1,-1076:2;-362,9,-1079:1",3996,0,2,2
4379,2920444970,6,6,12,232,-44,1170,212,1252,28690248746.0,2920444970,212,1252,232,-44,1170,6,7,13,"220,-19,1247:3;228,-39,1186:2;223,-39,1184:1;258,-51,1185:1",4107,0,1,1
73,3044725947,9,4,13,963,-16,701,900,676,114713875643.0,3044725947,900,676,963,-16,701,9,3,12,"902,-3,693:1;950,-11,694:1;922,-11,736:1",4286,0,-1,-1
3798,3049193747,6,6,12,1248,-40,-144,1284,-204,28818997523.0,3049193747,1284,-204,1248,-40,-144,7,6,13,"1268,-33,-167:1;1275,-33,-197:2;1264,-39,-162:1;1261,-33,-167:2",4292,1,0,1
1234,3085091290,7,7,14,-980,14,-252,-956,-316,,3085091290,-956,-316,-980,14,-252,7,6,13,"-948,19,-304:2;-947,17,-293:2;-941,19,-302:1;-965,9,-270:1",4345,0,-1,-1
461,3117272236,8,4,12,-898,19,-231,-892,-204,,3117272236,-892,-204,-898,19,-231,8,5,13,"-870,18,-215:2;-862,18,-230:1;-896,12,-238:2",4389,0,1,1
